Plastic_Glass,Collect,Treatment,int1,sul1,P_aeruginosa
HDPE,week0,TWW,1,1,1
PP,week0,TWW,1,1,1
PP,week0,TWW,1,1,1
Glass,week0,TWW,1,1,1
HDPE,week0,TWW,1,1,1
Glass,week0,TWW,1,1,1
HDPE,week0,TWW,1,1,1
LDPE,week0,TWW,1,1,1
LDPE,week0,TWW,1,1,1
PS,week0,TWW,1,1,1
PS,week0,TWW,1,1,1
Glass,week0,TWW,1,1,1
PP,week0,TWW,1,1,1
PS,week0,TWW,1,1,1
LDPE,week0,TWW,1,1,1
HDPE,week0,River,1,1,1
PP,week0,River,1,1,1
PP,week0,River,1,1,1
Glass,week0,River,1,1,1
HDPE,week0,River,1,1,1
Glass,week0,River,1,1,1
HDPE,week0,River,1,1,1
LDPE,week0,River,1,1,1
LDPE,week0,River,1,1,1
PS,week0,River,1,1,1
PS,week0,River,1,1,1
Glass,week0,River,1,1,1
PP,week0,River,1,1,1
PS,week0,River,1,1,1
LDPE,week0,River,1,1,1
Glass,week2,River,1,70.71,1
Glass,week2,River,1,1,1
Glass,week2,TWW,1,1,1
Glass,week2,TWW,70.71,46.85509341,1
HDPE,week2,River,1,200.2135115,1
HDPE,week2,River,1,125.1608145,1
HDPE,week2,TWW,70.71,174.8627818,1
HDPE,week2,TWW,70.71,206.0468121,1
LDPE,week2,River,325.6845388,79.5050751,1
LDPE,week2,River,1,1227.019103,1
LDPE,week2,TWW,1,3425.336831,1
LDPE,week2,TWW,57266.22817,153802.8289,1
PP,week2,River,1,1,1
PP,week2,River,70.71,385.8388034,1
PP,week2,TWW,1,3175.836357,70.71
PP,week2,TWW,1,194.2098113,1
PS,week2,River,70.71,104.9440791,1
PS,week2,River,822.7165865,469.309252,1
PS,week2,TWW,1,342.9845479,1
PS,week2,TWW,1,58416.02037,70.71
Glass,week6,River,omit,3426.424115,70.71
Glass,week6,River,70.71,680.5246435,70.71
Glass,week6,TWW,1,903.4902732,70.71
Glass,week6,TWW,3430,1760,138.625017
HDPE,week6,River,0,1,70.71
HDPE,week6,River,1,70.71,70.71
HDPE,week6,TWW,1,70.71,70.71
HDPE,week6,TWW,0,1,1
LDPE,week6,River,7295,1585,2556.603866
LDPE,week6,River,3730,840,70.71
LDPE,week6,TWW,70.71,1105,273.5666413
LDPE,week6,TWW,724,1155,70.71
PP,week6,River,0,1,70.71
PP,week6,River,1875,476,70.71
PP,week6,TWW,70.71,168,70.71
PP,week6,TWW,31950,9975,70.71
PS,week6,River,8695,2750,309.7037827
PS,week6,River,0,1,1
PS,week6,TWW,2715,598.5,70.71
PS,week6,TWW,12800,6265,70.71
Glass,week10,River,1,70.71,70.71
Glass,week10,River,70.71,1655,312.7137624
Glass,week10,TWW,197500,31600,1877.607721
Glass,week10,TWW,1,186.5,70.71
HDPE,week10,River,3210,1145,256.7791052
HDPE,week10,River,0,1,1
HDPE,week10,TWW,0,1,1
HDPE,week10,TWW,1,312,70.71
LDPE,week10,River,1,334.5,1283.990582
LDPE,week10,River,143500,16450,1118.401022
LDPE,week10,TWW,2386904.762,264285.7143,10109.23518
LDPE,week10,TWW,1645000,269000,618.6323643
PP,week10,River,225000,45800,11350.45912
PP,week10,River,403500,70300,3975.823415
PP,week10,TWW,70.71,1061.5,70.71
PP,week10,TWW,1,14050,181.0136437
PS,week10,River,45900,8400,1744.530145
PS,week10,River,0,29500,1799.82747
PS,week10,TWW,384000,56400,3407.353387
PS,week10,TWW,0,84950,394.9725985
