Collect,Treatment,S_maltophilia,int1,sul1,P_aeruginosa
week0,TWW,1086205.566,4940000,570000,7399.13753
week0,TWW,1384991.113,3615000,355500,3684.047394
week0,CON,952512.5,2657500,184250,7071.068
week0,TWW,1067648.926,5640000,692500,21654.46551
week0,CON,1120063.477,2530000,128000,1912.187672
week0,CON,978413.0859,2145000,152750,13305.17294
week0,TWW,1612684.342,7125000,985000,29037.32103
week0,CON,1757291.016,5475000,400500,7071.068
week2,TWW,243217.7979,12300000,1310000,1438.899555
week2,TWW,345736.4746,16000000,1575000,1128.814101
week2,CON,314763.916,8400000,400500,1
week2,TWW,419129.5736,26500000,2160000,7071.068
week2,CON,274255.363,11750000,612500,7071.068
week2,CON,396430.6152,10000000,506750,7071.068
week2,TWW,233660.0342,16550000,1730000,2111.476147
week2,CON,247770.3857,7675000,443000,668.0657182
week6,TWW,1421249.609,9550000,1077500,18201.32621
week6,TWW,1691697.168,9700000,1015000,3725.248238
week6,CON,NA,8425000,627500,8288.479728
week6,TWW,NA,9975000,1725000,20701.91047
week6,CON,290404.7821,8550000,535000,48869.42038
week6,CON,229196.7468,3190000,285000,8318.695515
week6,TWW,144444.4778,3885000,494250,7071.068
week6,CON,74940.33356,3727500,253250,7071.068
week10,TWW,NA,26950000,5155000,10658.55032
week10,TWW,NA,17375000,3360000,11800.52767
week10,CON,2746743.75,10750000,1195000,5630.091959
week10,TWW,NA,10225000,1937500,1006.93912
week10,CON,NA,14900000,2400000,48355.83004
week10,CON,18049704.69,15100000,3707500,54517.9615
week10,TWW,NA,25850000,4875000,2015.383332
week10,CON,NA,23875000,1805000,4570.541062
