Plastic_Glass,Collect,Treatment,S_maltophilia
Glass,week0,FB,7.07
Glass,week0,FB,7.07
Glass,week0,FB,1
HDPE,week0,FB,1
HDPE,week0,FB,7.07
HDPE,week0,FB,7.07
LDPE,week0,FB,7.07
LDPE,week0,FB,1
LDPE,week0,FB,1
PP,week0,FB,1
PP,week0,FB,7.07
PP,week0,FB,1
PS,week0,FB,1
PS,week0,FB,7.07
PS,week0,FB,1
Glass,week2,River,7.07
Glass,week2,River,7.07
Glass,week2,River,7.07
Glass,week2,River,7.07
Glass,week6,River,144.9367371
Glass,week6,River,19.26517677
Glass,week6,River,3922.304688
Glass,week6,River,7.07
Glass,week10,River,1136.150635
Glass,week10,River,8963.848633
HDPE,week2,River,965
HDPE,week2,River,7.07
HDPE,week2,River,7.07
HDPE,week2,River,12.77251816
HDPE,week6,River,31.7826519
HDPE,week6,River,3.03132534
HDPE,week6,River,7.07
HDPE,week10,River,789.651001
HDPE,week10,River,546.4824829
LDPE,week2,River,7.07
LDPE,week2,River,987.881
LDPE,week2,River,1301.99707
LDPE,week2,River,49
LDPE,week6,River,64.47218323
LDPE,week6,River,339
LDPE,week6,River,611.7015991
LDPE,week10,River,7960.336914
LDPE,week10,River,6558.30957
LDPE,week10,River,282.3746338
PP,week2,River,7.07
PP,week2,River,7.07
PP,week2,River,7.07
PP,week2,River,7.07
PP,week6,River,10.94779015
PP,week6,River,29.52628899
PP,week6,River,37.82241058
PP,week10,River,7.07
PP,week10,River,64785.58203
PP,week10,River,45270.95313
PS,week2,River,7.07
PS,week2,River,7.07
PS,week2,River,7.07
PS,week2,River,64.65026093
PS,week6,River,111
PS,week6,River,407.013031
PS,week10,River,4921.313477
PS,week10,River,8267.259766
PS,week10,River,45636.95313
Glass,week2,TWW,7.07
Glass,week2,TWW,7.07
Glass,week2,TWW,17.13529968
Glass,week6,TWW,107
Glass,week6,TWW,1365.841309
Glass,week6,TWW,75.26522827
Glass,week6,TWW,45
Glass,week10,TWW,16005.77344
Glass,week10,TWW,12499.07617
Glass,week10,TWW,1729.307373
HDPE,week2,TWW,7.07
HDPE,week2,TWW,7.07
HDPE,week2,TWW,62
HDPE,week2,TWW,68
HDPE,week6,TWW,10.86840248
HDPE,week6,TWW,383.9963989
HDPE,week6,TWW,7314.348145
HDPE,week10,TWW,13308.85742
HDPE,week10,TWW,12186.82324
HDPE,week10,TWW,62.00064087
LDPE,week2,TWW,496
LDPE,week2,TWW,466
LDPE,week2,TWW,7.07
LDPE,week2,TWW,7.07
LDPE,week6,TWW,254.8105164
LDPE,week6,TWW,118
LDPE,week6,TWW,28.39733505
LDPE,week6,TWW,2481.844238
LDPE,week10,TWW,30635.58984
LDPE,week10,TWW,106010.5156
LDPE,week10,TWW,180625.1875
PP,week2,TWW,7.07
PP,week2,TWW,619
PP,week2,TWW,7.07
PP,week2,TWW,88.30209351
PP,week6,TWW,10695
PP,week6,TWW,138.7510071
PP,week6,TWW,37.10347366
PP,week6,TWW,49.71991348
PP,week10,TWW,1417.663452
PS,week2,TWW,7.07
PS,week2,TWW,314
PS,week2,TWW,7995.232422
PS,week2,TWW,7.07
PS,week6,TWW,285
PS,week6,TWW,57.2803421
PS,week6,TWW,105.1821594
PS,week6,TWW,649.1665039
PS,week10,TWW,6227.821777
PS,week10,TWW,1109.448486
